,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,LastPrice_imputed,Year
34,HDFCBANK,EQ,28-07,1236.95,1238.0,1251.25,1235.55,1251.0,1248.45,1244.62,2661632,3312727179.9,28041,1462637,54.95,False,2016
35,HDFCBANK,EQ,29-07,1248.45,1248.0,1250.0,1235.0,1248.5,1246.2,1242.04,848919,1054392098.55,22969,583148,68.69,False,2016
36,HDFCBANK,IL,29-07,1200.0,1476.0,1476.0,1470.0,1470.0,1470.0,1474.36,2750000,4054500000.0,83,2750000,100.0,True,2016
37,HDFCBANK,EQ,01-08,1246.2,1249.0,1258.95,1227.65,1244.9,1242.3,1242.97,1390216,1727991430.0,25393,865109,62.23,False,2016
38,HDFCBANK,EQ,02-08,1242.3,1247.0,1256.45,1240.4,1245.1,1243.3,1245.35,1332349,1659238435.4,30516,818847,61.46,False,2016
39,HDFCBANK,EQ,03-08,1243.3,1241.1,1249.95,1231.0,1239.85,1240.45,1243.11,1183469,1471181706.05,15957,772726,65.29,False,2016
40,HDFCBANK,EQ,04-08,1240.45,1246.6,1246.7,1233.6,1244.55,1241.0,1239.31,1165720,1444687610.25,17692,783541,67.22,False,2016
41,HDFCBANK,EQ,05-08,1241.0,1247.4,1255.65,1241.75,1250.2,1249.25,1249.05,1446228,1806410416.05,13522,939905,64.99,False,2016
42,HDFCBANK,EQ,08-08,1249.25,1252.9,1255.0,1244.55,1248.2,1249.6,1249.91,1182194,1477640836.7,27746,909882,76.97,False,2016
43,HDFCBANK,EQ,09-08,1249.6,1252.9,1252.9,1237.7,1245.5,1247.2,1245.95,1052714,1311632914.25,17029,704276,66.9,False,2016
44,HDFCBANK,EQ,10-08,1247.2,1245.0,1250.95,1219.75,1224.0,1226.9,1231.7,904930,1114604307.8,12152,597502,66.03,False,2016
45,HDFCBANK,EQ,11-08,1226.9,1226.8,1235.0,1222.0,1229.0,1228.25,1229.93,714018,878191598.35,19268,475548,66.6,False,2016
46,HDFCBANK,EQ,12-08,1228.25,1231.05,1235.0,1219.4,1227.8,1228.7,1227.8,1160374,1424710572.1,14889,654990,56.45,False,2016
47,HDFCBANK,EQ,16-08,1228.7,1233.0,1238.45,1213.8,1226.5,1227.3,1225.63,867142,1062798488.75,15518,455081,52.48,False,2016
48,HDFCBANK,EQ,17-08,1227.3,1233.4,1237.5,1226.0,1236.25,1234.9,1231.98,1377759,1697377754.9,23582,1022149,74.19,False,2016
49,HDFCBANK,EQ,18-08,1234.9,1238.0,1254.9,1234.55,1250.0,1252.5,1247.8,1527914,1906537631.05,20416,1054938,69.04,False,2016
50,HDFCBANK,EQ,19-08,1252.5,1250.0,1250.0,1241.45,1249.0,1247.1,1246.73,1027659,1281217004.25,18849,787850,76.66,False,2016
51,HDFCBANK,EQ,22-08,1247.1,1245.05,1254.45,1241.0,1251.95,1250.3,1247.87,1375323,1716223179.15,26039,996127,72.43,False,2016
52,HDFCBANK,EQ,23-08,1250.3,1251.0,1254.0,1246.05,1254.0,1251.45,1249.58,1328631,1660230734.1,24934,996873,75.03,False,2016
53,HDFCBANK,EQ,24-08,1251.45,1252.05,1264.2,1247.05,1262.25,1261.8,1253.34,1392734,1745564106.5,25642,1005355,72.19,False,2016
54,HDFCBANK,EQ,25-08,1261.8,1264.0,1266.8,1254.3,1259.0,1258.55,1259.5,2182472,2748817761.7,42590,1613038,73.91,False,2016
55,HDFCBANK,EQ,26-08,1258.55,1260.0,1261.9,1253.9,1254.15,1257.1,1257.34,630284,792483537.95,17382,401297,63.67,False,2016
56,HDFCBANK,EQ,29-08,1257.1,1255.5,1255.5,1236.2,1238.55,1238.1,1241.38,736046,913713665.75,20786,424033,57.61,False,2016
57,HDFCBANK,EQ,30-08,1238.1,1245.1,1270.5,1243.95,1270.5,1268.65,1260.07,2466902,3108473874.3,42110,1795458,72.78,False,2016
58,HDFCBANK,EQ,31-08,1268.65,1269.0,1295.0,1265.5,1291.0,1291.2,1280.94,2790341,3574261805.15,51707,2051083,73.51,False,2016
59,HDFCBANK,EQ,01-09,1291.2,1288.0,1290.0,1275.4,1285.55,1283.7,1283.34,1306169,1676260302.75,23871,743006,56.88,False,2016
60,HDFCBANK,EQ,02-09,1283.7,1285.5,1289.0,1281.15,1286.1,1285.1,1285.3,988797,1270896738.75,41785,593274,60.0,False,2016
